derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,applicant_age,income,debt_to_income_ratio,applicant_ethnicity_observed,applicant_race_observed,applicant_sex_observed,denial_reason_1
Not Hispanic or Latino,White,Female,1,435000,5.75,675000,45-54,157.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,395000,6.25,495000,25-34,95.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,6.125,125000,>74,43.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,5.75,245000,35-44,49.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,275000,6.25,295000,25-34,142.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.875,335000,55-64,147.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,6.0,285000,55-64,52.0,49.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,505000,5.75,535000,25-34,169.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,675000,6.125,875000,55-64,236.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,545000,6.0,1135000,35-44,171.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,315000,6.0,415000,25-34,73.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,295000,6.25,365000,65-74,90.0,33.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,5.875,395000,35-44,84.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,415000,5.875,625000,55-64,73.0,60.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,205000,6.25,235000,25-34,70.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,6.25,385000,45-54,64.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,6.375,405000,45-54,924.0,10.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,425000,6.25,525000,45-54,110.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,6.625,375000,25-34,230.0,11.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,455000,6.375,535000,55-64,189.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,465000,6.25,465000,55-64,145.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,675000,6.375,845000,45-54,450.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.5,305000,25-34,49.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,175000,6.375,425000,25-34,48.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,325000,5.875,675000,45-54,169.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,135000,6.0,165000,55-64,56.0,26.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.75,265000,<25,78.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,155000,6.125,455000,<25,55.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,455000,6.0,755000,35-44,248.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.0,305000,35-44,117.0,27.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,425000,6.25,425000,<25,125.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,125000,6.25,135000,25-34,62.0,24.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,55000,7.25,145000,55-64,22.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,505000,7.0,565000,65-74,142.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,55000,7.125,205000,>74,26.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,7.125,285000,25-34,46.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,595000,6.5,715000,45-54,382.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,505000,7.25,805000,45-54,154.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,305000,7.25,315000,25-34,131.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,345000,7.125,455000,>74,143.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,7.0,115000,35-44,41.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,6.5,385000,35-44,107.0,2.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,255000,7.375,405000,55-64,76.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,345000,7.5,435000,35-44,84.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,95000,7.875,205000,45-54,54.0,28.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,625000,7.5,785000,45-54,224.0,41.0,2,2,2,10
Hispanic or Latino,White,Female,1,195000,7.0,245000,<25,46.0,44.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,305000,7.25,405000,25-34,602.0,11.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,235000,6.875,295000,55-64,140.0,41.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,165000,7.5,285000,25-34,65.0,26.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.875,285000,35-44,100.0,21.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,325000,6.75,405000,35-44,125.0,29.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,215000,6.375,275000,35-44,138.0,23.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,335000,5.75,345000,<25,85.0,43.0,2,2,2,10
Hispanic or Latino,White,Female,1,75000,7.375,85000,25-34,77.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,7.125,145000,<25,212.0,20.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,55000,7.125,65000,<25,34.0,23.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,225000,6.125,285000,35-44,71.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,6.125,175000,35-44,56.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,55000,5.625,85000,25-34,79.0,30.0,2,2,2,10
Hispanic or Latino,White,Male,1,25000,7.125,25000,65-74,25.0,5.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,195000,6.5,245000,>74,73.0,35.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,195000,7.0,225000,55-64,81.0,48.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,165000,8.25,185000,45-54,67.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,135000,6.125,165000,25-34,81.0,20.0,2,2,2,10
Hispanic or Latino,White,Male,1,425000,6.375,445000,25-34,150.0,28.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,315000,6.75,395000,55-64,148.0,33.0,2,2,2,10
